player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Andreas Schjelderup,21,Norway,Benfica,2024,2025,29,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/670103-1697191976.jpg?lm=1
Andreas Schjelderup,18,Norway,Benfica,2022,2022,1,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/670103-1697191976.jpg?lm=1
Franjo Ivanović,22,Croatia,Benfica,2025,2025,9,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/548028-1727376769.jpg?lm=1
Anatoliy Trubin,24,Ukraine,Benfica,2023,2025,69,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/537844-1737497981.jpg?lm=1
Geny Catamo,24,Mozambique,Sporting,2023,2025,66,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/701979-1571749109.jpg?lm=1
Geny Catamo,20,Mozambique,Sporting,2021,2021,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/701979-1571749109.jpg?lm=1
Giorgi Kochorashvili,26,Georgia,Sporting,2025,2025,9,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/405564-1759133137.jpg?lm=1
Tiago Parente,21,Portugal,Estoril,2024,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Chissumba,20,Portugal,Alverca,2025,2025,9,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/898721-1732826797.jpg?lm=1
Nodar Lominadze,23,Georgia,Estoril,2025,2025,9,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/658815-1713341533.png?lm=1
Yaya Sithole,26,South Africa,Tondela,2025,2025,9,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/401736-1680154630.jpg?lm=1
Bastien Meupiyou,19,France,Alverca,2025,2025,9,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/955253-1703065461.jpg?lm=1
Jorge Meireles,21,Portugal,Estrela Amadora,2025,2025,9,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/742454-1689275346.jpg?lm=1
Iván Fresneda,21,Spain,Sporting,2023,2025,32,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/946883-1761231757.jpg?lm=1
Christian Marques,22,Portugal,Tondela,2025,2025,9,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/539807-1738846099.jpg?lm=1
Hyun-ju Lee,22,"Korea, South",Arouca,2025,2025,9,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/709166-1690131657.jpg?lm=1
Pedro Lima,22,Brazil,Avs FS,2025,2025,9,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/816135-1670964723.jpg?lm=1
Martín Fernández,22,Uruguay,Gil Vicente,2025,2025,9,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/822141-1750607712.jpg?lm=1
Alberto Costa,22,Portugal,Porto,2025,2025,9,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/877139-1739281459.jpg?lm=1
Tomás Araújo,23,Portugal,Benfica,2023,2025,50,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/504087-1737497771.jpg?lm=1
Tomás Araújo,19,Portugal,Benfica,2021,2021,3,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/504087-1737497771.jpg?lm=1
Alisson Santos,23,Brazil,Sporting,2025,2025,9,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/830365-1759132860.jpg?lm=1
Brian Mansilla,23,Uruguay,Arouca,2024,2025,21,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/981058-1721081381.jpg?lm=1
Francisco Petrasso,23,Argentina,Rio Ave,2024,2025,16,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/985683-1737116110.jpg?lm=1
Brayan Medina,23,Colombia,Tondela,2025,2025,9,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/989929-1691772750.jpg?lm=1
Ole Pohlmann,24,Germany,Rio Ave,2024,2025,37,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/405690-1737124998.jpg?lm=1
